#{"t_start": 1775959170.776017, "env_id": "None"}
r,l,t
-63.697106,480,65.031991
-241.817127,480,65.105665
-164.693408,480,65.175355
-146.817942,480,65.476953
-115.708854,480,65.550388
-82.628356,480,65.622472
-108.415219,480,65.693315
-60.079192,480,65.764812
-57.171858,480,66.068856
-88.59861,480,66.139448
-122.044371,480,66.211537
-53.750942,480,66.283426
-100.750374,480,66.587863
-77.989763,480,66.658628
-96.249207,480,66.730384
-135.379718,480,66.800874
-129.656465,480,67.106877
-150.373744,480,67.178789
-129.76744,480,67.250445
-66.459901,480,67.322033
-134.307118,480,67.392946
-75.851768,480,67.69669
-77.103215,480,67.76945
-94.31601,480,67.840617
-71.864844,480,67.912446
-150.294222,480,68.232767
-75.375019,480,68.306054
-105.086166,480,68.378881
-60.59238,480,68.45033
-59.140657,480,68.753104
-141.098569,480,68.826059
-72.1545,480,68.898538
-100.742092,480,68.968939
-118.803504,480,69.272303
-176.136471,480,69.344062
-140.68122,480,69.414414
-88.178158,480,69.49048
-101.365667,480,69.564782
-110.197448,480,69.868998
-91.244325,480,69.940586
-91.947254,480,70.014767
-155.608922,480,70.086706
-90.780817,480,70.38982
-52.599881,480,70.4614
-102.770985,480,70.534574
-93.908754,480,70.607639
-69.085351,480,70.910633
-71.871454,480,70.981624
-60.54763,480,71.053828
-74.195746,480,71.12579
-90.763167,480,71.427129
-89.730969,480,71.497857
-103.655062,480,71.57074
-43.896736,480,71.642283
-65.962721,480,71.716018
-78.582477,480,72.02068
-65.906955,480,72.093109
-51.641391,480,72.164985
-63.85454,480,72.236782
-77.470936,480,72.540077
-89.804583,480,72.612511
-95.978027,480,72.684279
-70.621945,480,72.757055
-140.95443,480,73.061508
-96.458003,480,73.134118
-59.394615,480,73.204536
-51.780974,480,73.27613
-76.525503,480,73.578381
-59.189579,480,73.650042
-72.871638,480,73.72225
-89.444484,480,73.795391
-84.139401,480,73.866944
-159.400801,480,74.171403
-77.812788,480,74.244343
-71.854563,480,74.317233
-82.407158,480,74.39012
-87.503823,480,74.692665
-72.516116,480,74.764504
-75.188894,480,74.837362
-98.862679,480,74.91394
-77.409429,480,75.260332
-57.421803,480,75.344335
-65.391314,480,75.416802
-89.667454,480,75.495639
-78.315266,480,75.580454
-114.58641,480,75.911707
-112.781094,480,75.984724
-82.542994,480,76.056987
-52.947357,480,76.128344
-81.696852,480,76.435404
-97.526026,480,76.526251
-52.923647,480,76.60438
-97.823202,480,76.688056
-68.494051,480,77.046791
-50.602604,480,77.148003
-51.319673,480,77.22321
-69.002302,480,77.297534
-47.109062,480,77.616918
-74.245381,480,77.691138
-114.865532,480,77.765971
-96.814686,480,77.841875
-46.877605,480,77.916296
-93.312723,480,78.229496
-64.692457,480,78.317714
-76.62318,480,78.390367
-57.319781,480,78.46249
-93.842541,480,78.766437
-79.444172,480,78.838136
-65.804957,480,78.908763
-72.748854,480,78.980397
-93.249123,480,79.287815
-74.680521,480,79.360951
-72.601461,480,79.43146
-64.135791,480,79.502721
-48.833657,480,79.811947
-85.607386,480,79.884797
-51.705297,480,79.957885
-65.784378,480,80.031658
-78.382373,480,80.1043
-90.070147,480,80.410277
-70.144632,480,80.482442
-72.383488,480,80.555312
-133.525221,480,80.627299
-115.259856,480,80.934052
-82.509962,480,81.005355
-46.545925,480,81.077787
-90.190328,480,81.149429
-69.285518,480,81.454327
-110.622405,480,81.526235
-88.219282,480,81.597611
-59.602684,480,81.669546
-120.336674,480,81.972606
-143.316028,480,82.045737
-59.851321,480,82.118214
-91.820444,480,82.190918
-62.853793,480,82.261458
-56.18623,480,82.567513
-62.609237,480,82.64154
-93.679933,480,82.713857
-66.298382,480,82.784653
-60.937076,480,83.089329
-91.512001,480,83.162531
-110.81351,480,83.233444
-45.544319,480,83.304255
-56.838612,480,83.607274
-52.248766,480,83.680479
-56.463133,480,83.752771
-62.662293,480,83.824736
-83.688722,480,83.899679
-65.589101,480,84.210556
-50.825731,480,84.28372
-51.974369,480,84.35376
-57.635489,480,84.425262
-100.497605,480,84.730127
-91.334948,480,84.801484
-57.024709,480,84.873171
-41.602776,480,84.945208
-88.592086,480,85.252746
-76.556398,480,85.323221
-88.689076,480,85.395479
-42.283971,480,85.467712
-53.932983,480,85.771751
-66.369163,480,85.841995
-67.36127,480,85.913251
-48.159237,480,85.985648
-61.555327,480,86.055643
-78.786044,480,86.360977
-80.248269,480,86.464238
-77.941982,480,86.537471
-51.74027,480,86.608882
-66.893629,480,86.922314
-50.191101,480,86.993736
-38.240333,480,87.065784
-71.315305,480,87.137576
-73.803784,480,87.441885
-58.362373,480,87.513366
-51.545145,480,87.585463
-79.80575,480,87.657694
-70.896808,480,87.962408
-114.725807,480,88.034315
-103.247429,480,88.107436
-47.364535,480,88.179569
-36.01771,480,88.250977
-67.419083,480,88.587592
-86.22345,480,88.661163
-61.252813,480,88.732647
-75.361434,480,88.804187
-62.268278,480,89.108289
-46.080599,480,89.179722
-62.172655,480,89.252278
-47.857553,480,89.32354
-77.254204,480,89.628539
-67.430782,480,89.701734
-63.791405,480,89.774484
-71.179802,480,89.845062
-68.676278,480,90.14969
-61.942319,480,90.222147
-48.043427,480,90.295316
-57.541843,480,90.365781
-44.738682,480,90.437695
-56.795393,480,90.742522
-38.769093,480,90.815027
-51.411065,480,90.886094
-49.043721,480,90.958294
-61.478954,480,91.262127
-47.24188,480,91.334762
-60.553619,480,91.406828
-39.927148,480,91.480378
-46.365962,480,91.784305
-44.683575,480,91.85914
-57.909674,480,91.930501
-66.049952,480,92.002765
-126.201819,480,92.074646
-67.357305,480,92.379033
-83.62554,480,92.450756
-57.111321,480,92.524593
-75.212612,480,92.594738
-44.401535,480,92.902428
-68.919788,480,92.975612
-56.446123,480,93.048054
-80.807002,480,93.120637
-49.11415,480,93.427904
-56.062993,480,93.500846
-84.561819,480,93.574321
-52.437779,480,93.646317
-47.086253,480,93.949557
-55.998119,480,94.023469
-44.208424,480,94.098828
-50.801864,480,94.170306
-53.968345,480,94.244183
-39.860617,480,94.549352
