#{"t_start": 1775959733.6788962, "env_id": "None"}
r,l,t
-6722.185813,64,12.323856
-9540.136131,68,12.336579
-6395.423959,59,12.347556
-6305.766183,58,12.358408
-6236.621304,62,12.370242
-10198.255629,92,12.388609
-7639.169389,63,12.400925
-10660.679337,68,12.413946
-4392.140194,40,12.850284
-9008.374646,83,12.866123
-9028.200124,79,12.880928
-11695.662064,84,12.896612
-10257.593782,78,12.911163
-9062.095511,71,12.926075
-11673.325599,88,12.943417
-9363.143504,80,12.959079
-9139.884365,75,12.973526
-7690.694519,70,12.986832
-8429.279009,77,13.001502
-5668.772497,46,13.010253
-8222.503743,74,13.0255
-5665.961829,52,13.035459
-11112.637803,89,13.052381
-9973.459794,62,13.064443
-10591.261773,82,13.080374
-10326.734666,80,13.095704
-8512.687343,72,13.109424
-10214.914835,86,13.126687
-10689.032549,82,13.142424
-11177.721569,90,13.159788
-6526.856543,62,13.171665
-8507.395479,64,13.183888
-9112.368244,74,13.198057
-4809.758092,44,13.206586
-7202.413729,60,13.21803
-4357.906973,34,13.224557
-4340.74839,31,13.23128
-4515.765475,40,13.239251
-8876.85331,80,13.25558
-5883.159596,52,13.265761
-6998.562394,60,13.277502
-7801.797249,64,13.290054
-8794.121435,74,13.304488
-10478.844442,81,13.320102
-9748.642707,73,13.334182
-4447.413835,40,13.342847
-10626.52765,93,13.360585
-8852.296639,76,13.374866
-8864.525471,83,13.390465
-9762.088632,82,13.405833
-9876.373487,82,13.421182
-9112.640584,68,13.43422
-9636.483495,88,13.452265
-9298.330732,76,13.467082
-4561.902828,42,13.474982
-11774.046329,86,13.491121
-7745.270015,66,13.503518
-4845.407242,31,13.509366
-5067.120234,38,13.516709
-4794.415332,36,13.523745
-10062.239977,74,13.538135
-10626.855474,73,13.552772
-9859.782072,81,13.568712
-5666.678526,54,13.579113
-4223.871024,43,13.587322
-7829.464209,71,13.600894
-8526.700276,68,13.614253
-8013.611623,62,13.626547
-12724.931817,103,14.071427
-7552.464871,62,14.085195
-8072.982281,72,14.09914
-10102.780254,91,14.116646
-11823.830007,90,14.134069
-8973.188512,68,14.14712
-10229.244766,76,14.161508
-8929.575067,75,14.175661
-5516.794802,38,14.183699
-5586.931696,48,14.193311
-6535.959805,64,14.205543
-7261.14363,62,14.217328
-8628.046492,76,14.231656
-6058.255651,52,14.241527
-8418.502072,71,14.255834
-9064.251594,67,14.268771
-9223.219826,76,14.283166
-5961.590329,51,14.293876
-5157.373027,35,14.3008
-9201.160218,72,14.314377
-6393.422881,47,14.323241
-11626.139628,100,14.342666
-4635.96551,27,14.347952
-9377.994351,88,14.364893
-11100.223623,84,14.380857
-10590.112587,78,14.3965
