#{"t_start": 1775967785.2824872, "env_id": "None"}
r,l,t
-84.558293,92,5.822366
-32.485234,38,5.828463
-77.877976,98,5.843822
-58.626399,77,5.857067
-31.146159,31,5.862155
-25.081109,31,5.867554
-51.54073,57,5.877046
-54.121166,46,5.884726
-69.668648,72,5.896672
-83.638446,77,5.909335
-43.879369,30,5.914377
-29.985073,38,5.920705
-26.551432,35,5.926521
-49.168496,79,5.939605
-49.753001,60,5.949532
-52.664883,74,5.962278
-52.165634,92,5.977379
-40.539215,40,5.983865
-57.884504,50,5.991796
-49.946178,49,5.999617
-106.890322,95,6.014933
-50.854496,39,6.021112
-45.736214,60,6.030718
-22.053602,32,6.035944
-52.242214,55,6.044859
-40.974981,30,6.049684
-60.389834,96,6.06576
-79.294991,73,6.077659
-98.760111,76,6.090666
-20.607013,14,6.09317
-27.399657,45,6.10083
-24.348588,25,6.105093
-58.13357,69,6.116685
-38.468287,39,6.123331
-28.622782,35,6.129126
-106.418352,108,6.421808
-31.314111,48,6.429636
-43.679142,41,6.436611
-30.480369,25,6.44071
-26.567952,25,6.444771
-51.629674,38,6.450957
-56.076261,91,6.465572
-52.106048,65,6.475963
-22.859565,23,6.479682
-69.236587,55,6.489705
-55.640743,49,6.498017
-44.459505,75,6.509997
-76.421904,66,6.520881
-41.536211,63,6.531278
-24.956492,26,6.53548
-35.703691,41,6.542073
-25.797165,28,6.54683
-26.999086,59,6.556712
-35.245774,45,6.564231
-83.812902,85,6.578208
-32.753366,40,6.586706
-35.320499,42,6.59437
-42.469299,46,6.603339
-50.120209,59,6.61299
-27.423688,26,6.617557
-66.874817,54,6.626376
-68.298818,57,6.636099
-21.734556,21,6.639627
-38.16427,54,6.648711
-49.157288,53,6.657362
-26.988964,22,6.661032
-25.450636,37,6.667047
-49.417938,78,6.679538
-24.929602,30,6.68432
-27.308103,35,6.689957
-61.437201,54,6.700033
-30.15577,32,6.705849
-55.344112,77,6.718997
-66.528718,83,6.733012
-23.898744,38,6.73947
-96.498581,77,6.752312
-41.315834,46,6.760032
-24.291821,33,6.765641
-42.294251,45,6.773383
-20.101956,26,6.77774
-50.986528,78,6.790446
-48.782275,62,6.801829
-32.746812,71,6.813911
-27.117304,31,6.819096
-67.802682,96,6.834654
-38.648254,45,6.841961
-28.433688,42,6.848822
-46.51303,82,6.862053
-25.156086,25,6.866153
-64.745491,77,6.878557
-30.762094,38,6.884756
-37.704761,55,6.893695
-30.577725,30,6.898614
-63.633511,88,6.914294
-38.784903,62,6.924341
-35.173673,37,6.930468
-77.096856,84,6.944467
-28.54329,33,6.949959
-61.573818,60,6.959911
-108.812903,84,6.973946
-47.312411,61,6.98455
-55.330235,55,6.993755
-80.750412,81,7.007293
-54.898708,47,7.016167
-31.308348,38,7.022668
-26.131872,42,7.029835
-24.658107,35,7.035892
-37.862514,64,7.046698
-23.26421,30,7.051744
-38.668864,41,7.058527
-44.584887,86,7.072886
-31.326751,62,7.083516
-65.34268,69,7.094967
-29.418253,34,7.381903
-36.48356,51,7.390306
-103.543293,96,7.405689
-119.342817,108,7.422942
-55.587208,77,7.436124
-37.379713,39,7.442952
-30.967051,41,7.44988
-95.123043,72,7.461928
-20.109185,18,7.465024
-32.742123,56,7.474026
-70.829444,58,7.483486
-48.769288,51,7.491878
-31.486617,38,7.498031
-155.765671,101,7.514139
-39.659903,43,7.521019
-32.808283,35,7.5266
-36.740269,41,7.533135
-44.21386,53,7.542656
-29.586597,25,7.547581
-46.211835,47,7.555319
-106.505962,76,7.56836
-25.193794,36,7.574762
-28.083775,32,7.580206
-27.698708,34,7.586588
-30.672018,25,7.590843
-26.45662,30,7.595781
-40.923575,46,7.604453
-48.721102,51,7.612783
-21.709419,34,7.61842
-95.535715,82,7.631595
-70.997642,74,7.644356
-37.004685,50,7.653219
-96.919008,106,7.671286
-86.750536,69,7.682665
-25.120288,21,7.686158
-71.502907,57,7.69607
-78.312969,87,7.710325
-30.973986,57,7.719802
-28.381352,41,7.726643
-69.462392,91,7.741662
-43.2822,45,7.749997
-43.541131,52,7.75884
-61.874649,67,7.775153
-30.463496,45,7.783508
-39.373602,41,7.808966
-63.43374,67,7.869799
-67.452335,65,7.885783
-58.600287,71,7.897622
-27.541938,44,7.905018
-40.853669,55,7.91423
-23.752717,28,7.918836
-21.933264,23,7.922512
-38.293655,69,7.933752
-74.134114,109,7.951264
-26.229775,23,7.954995
-38.957599,41,7.96235
-68.101853,66,7.973196
-60.968113,94,7.988532
-37.093875,45,7.996066
-44.799711,57,8.005494
-31.089246,52,8.014047
-74.214437,73,8.026133
-38.286091,33,8.032602
-29.972905,45,8.040361
-43.62917,34,8.046032
-37.718665,38,8.052313
-24.647592,36,8.058175
-45.992733,42,8.065844
-38.419289,73,8.078022
-24.431103,26,8.08248
-28.417048,38,8.088719
-37.036751,45,8.096072
-40.237756,33,8.101602
-22.70853,29,8.106359
-27.854888,29,8.111042
-76.366758,120,8.130527
-34.362129,35,8.136167
-34.137735,41,8.433403
-38.390596,47,8.441223
-121.206922,83,8.455023
-55.756789,83,8.468455
-40.076281,48,8.476238
-40.713182,40,8.482793
-51.999703,52,8.492301
-30.875405,37,8.498685
-36.262925,58,8.508507
-30.074777,27,8.513003
-21.762052,17,8.51622
-46.721947,43,8.523609
-59.89137,58,8.533124
-24.079765,30,8.538154
-52.331146,59,8.548327
-37.63016,57,8.557758
-43.410203,54,8.566889
-27.685096,46,8.574461
-26.869321,38,8.581573
-23.985288,34,8.587946
-40.161359,32,8.594231
-141.950306,98,8.624594
-28.00102,34,8.635202
-56.12702,103,8.651987
-21.41228,24,8.655934
-60.724681,69,8.667381
-83.283548,62,8.677739
-57.085674,60,8.687494
-23.216244,30,8.692302
-31.48355,45,8.700357
-50.874755,47,8.708411
-92.936863,60,8.718628
-36.47519,38,8.724839
-48.136833,52,8.733277
-61.46324,86,8.746981
-32.876136,36,8.753026
-56.947581,71,8.76472
-57.117086,64,8.775218
-78.189876,75,8.787816
-41.819523,39,8.794335
-49.797546,65,8.80604
-44.733657,47,8.814284
-143.220484,122,8.834223
-54.567443,69,8.845424
-53.564582,44,8.852538
-46.000671,41,8.859175
-64.352807,60,8.86918
-24.686718,34,8.874714
-39.418172,60,8.884426
-67.422824,87,8.898509
-91.577963,85,8.913109
-46.354506,72,8.925179
-45.379692,50,8.933586
-41.655919,48,8.941403
-53.698762,77,8.953806
-61.961877,66,8.96455
-43.020832,61,8.97454
-60.246058,41,8.981366
-53.698361,68,8.992576
-79.114921,96,9.008173
-38.390394,48,9.016717
-63.353856,81,9.030082
-45.980897,71,9.041782
-100.626884,110,9.059371
-40.356227,67,9.070275
-35.597513,52,9.078622
-37.583241,38,9.084674
-85.662259,88,9.098784
-66.667887,71,9.110435
-24.486505,24,9.114475
-40.538698,55,9.124332
-35.946499,46,9.132195
-22.123044,19,9.399942
-42.993688,78,9.412989
-58.452771,90,9.427885
